ID	__name__	probes_1	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie and starring Judi Dench, of the genre [MASK].	comedy	thriller	film	films	cinema	Action|Adventure|Thriller	0.0	0.3333333333333333
100	City Hall	City Hall is a movie and starring Al Pacino, of the genre [MASK].	comedy	noir	cop	superman	batman	Drama|Thriller	0.0	0.0
100017	Keep the Lights On	Keep the Lights On is a movie and starring Julianne Nicholson, of the genre [MASK].	thriller	genre	drama	comedy	film	Drama	0.0	1.0
100048	Omar Killed Me	Omar Killed Me is a movie and starring Maurice Bénichou, of the genre [MASK].	thriller	noir	comedy	cinema	drama	Crime|Drama	0.0	0.5
100062	My Way	My Way is a movie and starring Joe Odagiri, of the genre [MASK].	anime	manga	drama	comedy	horror	Action|Drama|War	0.0	0.3333333333333333
100091	Hitler's Madman	Hitler's Madman is a movie and starring Peter van Eyck, of the genre [MASK].	thriller	comedy	horror	drama	film	Drama|War	0.0	0.5
100108	Parker	Parker is a movie and starring Jennifer Lopez, of the genre [MASK].	thriller	parker	genre	pop	rihanna	Crime|Thriller	0.5	0.5
100138	A Simple Life	A Simple Life is a movie and starring Andy Lau, of the genre [MASK].	comedy	drama	[UNK]	thriller	family	Drama	0.0	1.0
100159	Sightseers	Sightseers is a movie and starring John Hurt, of the genre [MASK].	thriller	horror	comedy	film	drama	Comedy	0.0	1.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie and starring Jeremy Renner, of the genre [MASK].	horror	witch	supernatural	thriller	noir	Action|Fantasy|Horror|IMAX	0.25	0.25
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie and starring Jean Rochefort, of the genre [MASK].	drama	genre	comedy	theatre	fiction	Adventure|Romance	0.0	0.0
100229	The Psychopath	The Psychopath is a movie and starring Peter Diamond, of the genre [MASK].	thriller	noir	horror	psycho	batman	Horror|Mystery	0.0	0.5
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie and starring Virna Lisi, of the genre [MASK].	comedy	drama	film	comedies	cinema	Comedy|Drama	0.5	1.0
100244	The East	The East is a movie and starring Elliot Page, of the genre [MASK].	thriller	noir	horror	fiction	drama	Drama	0.0	1.0
100255	Confessions of a Driving Instructor	Confessions of a Driving Instructor is a movie and starring Tony Booth, of the genre [MASK].	thriller	cop	batman	comedy	horror	Comedy	0.0	1.0
100257	Confessions from a Holiday Camp	Confessions from a Holiday Camp is a movie and starring Robin Askwith, of the genre [MASK].	thriller	horror	drama	comedy	noir	Comedy	0.0	1.0
100383	Side Effects	Side Effects is a movie and starring Catherine Zeta-Jones, of the genre [MASK].	thriller	drama	genre	fiction	horror	Crime|Drama|Mystery|Thriller	0.25	0.5
100387	Kadal	Kadal is a movie and starring Gautham Karthik, of the genre [MASK].	genre	films	film	bollywood	cinema	Drama|Romance	0.0	0.0
100390	Identity Thief	Identity Thief is a movie and starring Carlos Navarro, of the genre [MASK].	thriller	crime	thief	batman	detective	Comedy|Crime	0.0	0.5
100397	The ABCs of Death	The ABCs of Death is a movie and starring Ingrid Bolsø Berdal, of the genre [MASK].	fiction	drama	thriller	horror	comedy	Horror	0.0	1.0
1004	The Glimmer Man	The Glimmer Man is a movie and starring Brian Cox, of the genre [MASK].	thriller	horror	comedy	noir	batman	Action|Thriller	0.5	0.5
100440	Lore	Lore is a movie and starring Ursina Lardi, of the genre [MASK].	drama	cinema	tango	opera	genre	Drama|Thriller|War	0.3333333333333333	0.3333333333333333
100498	A Good Day to Die Hard	A Good Day to Die Hard is a movie and starring Bruce Willis, of the genre [MASK].	horror	batman	thriller	genre	films	Action|Crime|Thriller|IMAX	0.0	0.25
1005	D3: The Mighty Ducks	D3: The Mighty Ducks is a movie and starring Steven Brill, of the genre [MASK].	batman	duck	comedy	pilot	genre	Children|Comedy	0.0	0.5
100507	21 & Over	21 & Over is a movie and starring Justin Chon, of the genre [MASK].	thriller	genre	drama	pop	film	Comedy	0.0	0.0
100515	War Witch	War Witch is a movie and starring Rachel Mwanza, of the genre [MASK].	drama	thriller	manga	fiction	genre	Drama|War	0.5	0.5
100527	Safe Haven	Safe Haven is a movie and starring Josh Duhamel, of the genre [MASK].	thriller	batman	horror	drama	comedy	Drama|Mystery|Romance	0.0	0.3333333333333333
100591	The Mind Reader	The Mind Reader is a movie and starring Warren William, of the genre [MASK].	thriller	fiction	suspense	horror	noir	Drama|Romance	0.0	0.0
1006	The Chamber	The Chamber is a movie and starring Faye Dunaway, of the genre [MASK].	thriller	drama	horror	noir	fiction	Drama	0.0	1.0
100714	Before Midnight	Before Midnight is a movie and starring Ethan Hawke, of the genre [MASK].	thriller	batman	drama	film	genre	Drama|Romance	0.0	0.5
1008	Davy Crockett, King of the Wild Frontier	Davy Crockett, King of the Wild Frontier is a movie and starring Basil Ruysdael, of the genre [MASK].	cowboy	western	genre	adventure	comedy	Adventure|Western	0.0	1.0
1009	Escape to Witch Mountain	Escape to Witch Mountain is a movie and starring Reta Shaw, of the genre [MASK].	genre	thriller	noir	horror	drama	Adventure|Children|Fantasy	0.0	0.0
100906	Maniac Cop 2	Maniac Cop 2 is a movie and starring Danny Trejo, of the genre [MASK].	cop	thriller	batman	genre	csi	Action|Horror|Thriller	0.0	0.3333333333333333
1010	The Love Bug	The Love Bug is a movie and starring Chick Hearn, of the genre [MASK].	comedy	noir	horror	thriller	romance	Children|Comedy	0.5	0.5
101025	Jack the Giant Slayer	Jack the Giant Slayer is a movie and starring Stanley Tucci, of the genre [MASK].	batman	thriller	superhero	genre	horror	Adventure|Fantasy|IMAX	0.0	0.0
101060	The Last Exorcism Part II	The Last Exorcism Part II is a movie and starring Louis Herthum, of the genre [MASK].	horror	noir	vampire	thriller	dracula	Horror|Thriller	0.5	1.0
101064	Verboten!	Verboten! is a movie and starring Paul Busch, of the genre [MASK].	comedy	thriller	film	drama	horror	Action|Romance|War	0.0	0.0
101068	The Solitude of Prime Numbers	The Solitude of Prime Numbers is a movie and starring Isabella Rossellini, of the genre [MASK].	comedy	opera	drama	thriller	fiction	Drama	0.0	1.0
101076	G.I. Joe: Retaliation	G.I. Joe: Retaliation is a movie and starring RZA, of the genre [MASK].	sgt	mma	freestyle	genre	hardcore	Action|Adventure|Sci-Fi|Thriller|IMAX	0.0	0.0
101088	Stoker	Stoker is a movie and starring Nicole Kidman, of the genre [MASK].	thriller	horror	drama	vampire	genre	Drama|Mystery|Thriller	0.3333333333333333	0.6666666666666666
1011	Herbie Rides Again	Herbie Rides Again is a movie and starring Helen Hayes, of the genre [MASK].	comedy	variety	films	film	drama	Children|Comedy|Fantasy|Romance	0.25	0.25
101112	Oz the Great and Powerful	Oz the Great and Powerful is a movie and starring Rachel Weisz, of the genre [MASK].	oz	thriller	noir	horror	comedy	Action|Adventure|Fantasy|IMAX	0.0	0.0
1012	Old Yeller	Old Yeller is a movie and starring Kevin Corcoran, of the genre [MASK].	genre	thriller	horror	comedy	drama	Children|Drama	0.0	0.5
101204	The Hucksters	The Hucksters is a movie and starring Douglas Fowley, of the genre [MASK].	comedy	horror	drama	genre	noir	Drama	0.0	1.0
101207	Emperor	Emperor is a movie and starring Tommy Lee Jones, of the genre [MASK].	batman	pop	blues	era	superman	Drama|War	0.0	0.0
101214	Genghis Khan	Genghis Khan is a movie and starring Eli Wallach, of the genre [MASK].	comedy	thriller	drama	horror	noir	Adventure|Drama|War	0.0	0.3333333333333333
101233	The Glass Menagerie	The Glass Menagerie is a movie and starring Jane Wyman, of the genre [MASK].	noir	drama	comedy	horror	cabaret	Drama	0.0	1.0
101235	The Great Gatsby	The Great Gatsby is a movie and starring Macdonald Carey, of the genre [MASK].	genre	batman	comedy	romance	drama	Drama	0.0	1.0
101247	Westward the Women	Westward the Women is a movie and starring Robert Taylor, of the genre [MASK].	comedy	drama	thriller	horror	noir	Drama|Western	0.0	0.5
101262	Geek Charming	Geek Charming is a movie and starring Sasha Pieterse, of the genre [MASK].	thriller	comedy	fiction	drama	genre	Comedy	0.0	1.0
101283	The Incredible Burt Wonderstone	The Incredible Burt Wonderstone is a movie and starring Alan Arkin, of the genre [MASK].	comedy	batman	films	noir	superman	Comedy	1.0	1.0
