ID	__name__	probes_5	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie and starring Judi Dench and directed by Martin Campbell and produced by Barbara Broccoli and screenwriter Bruce Feirstein and music by Éric Serra, of the genre [MASK].	films	film	genre	soundtrack	opera	Action|Adventure|Thriller	0.0	0.0
100	City Hall	City Hall is a movie and starring Al Pacino and directed by Harold Becker and produced by Harold Becker and screenwriter Paul Schrader and music by Jerry Goldsmith, of the genre [MASK].	jazz	comedy	noir	film	folk	Drama|Thriller	0.0	0.0
100017	Keep the Lights On	Keep the Lights On is a movie and starring Julianne Nicholson and directed by Ira Sachs and produced by Ira Sachs and screenwriter Ira Sachs and music by Arthur Russell, of the genre [MASK].	jazz	opera	cabaret	comedy	music	Drama	0.0	0.0
100048	Omar Killed Me	Omar Killed Me is a movie and starring Maurice Bénichou and directed by Roschdy Zem and produced by Rachid Bouchareb and screenwriter Roschdy Zem and music by Alexandre Azaria, of the genre [MASK].	cinema	films	film	genre	drama	Crime|Drama	0.0	0.5
100062	My Way	My Way is a movie and starring Joe Odagiri and directed by Kang Je-gyu and produced by Kang Je-gyu and screenwriter Kang Je-gyu and music by Lee Dong-jun, of the genre [MASK].	genre	variety	music	anime	film	Action|Drama|War	0.0	0.0
100091	Hitler's Madman	Hitler's Madman is a movie and starring Peter van Eyck and directed by Douglas Sirk and produced by Seymour Nebenzal and screenwriter Edgar G. Ulmer and music by Karl Hajos, of the genre [MASK].	film	films	genre	trilogy	opera	Drama|War	0.0	0.0
100108	Parker	Parker is a movie and starring Jennifer Lopez and directed by Taylor Hackford and produced by Taylor Hackford and screenwriter John J. McLaughlin and music by David Buckley, of the genre [MASK].	genre	music	parker	soundtrack	variety	Crime|Thriller	0.0	0.0
100138	A Simple Life	A Simple Life is a movie and starring Andy Lau and directed by Ann Hui and produced by Ann Hui and screenwriter Susan Chan and music by Law Wing-fai, of the genre [MASK].	genre	drama	[UNK]	variety	music	Drama	0.0	1.0
100159	Sightseers	Sightseers is a movie and starring John Hurt and directed by Ben Wheatley and produced by Edgar Wright and screenwriter Alice Lowe and music by Jim Williams, of the genre [MASK].	genre	variety	films	folk	comedy	Comedy	0.0	1.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie and starring Jeremy Renner and directed by Tommy Wirkola and produced by Will Ferrell and screenwriter Tommy Wirkola and music by Atli Örvarsson, of the genre [MASK].	genre	trilogy	films	film	horror	Action|Fantasy|Horror|IMAX	0.0	0.25
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie and starring Jean Rochefort and directed by Bernard Borderie and produced by Raymond Borderie and screenwriter Anne Golon and music by Michel Magne, of the genre [MASK].	genre	films	film	drama	theatre	Adventure|Romance	0.0	0.0
100229	The Psychopath	The Psychopath is a movie and starring Peter Diamond and directed by Freddie Francis and produced by Max Rosenberg and screenwriter Robert Bloch and music by Elisabeth Lutyens, of the genre [MASK].	genre	noir	thriller	films	film	Horror|Mystery	0.0	0.0
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie and starring Virna Lisi and directed by Norman Panama and produced by Norman Panama and screenwriter Peter Barnes and music by John Williams, of the genre [MASK].	standards	variety	group	trio	genre	Comedy|Drama	0.0	0.0
100244	The East	The East is a movie and starring Elliot Page and directed by Zal Batmanglij and produced by Ridley Scott and screenwriter Brit Marling and music by Halli Cauthery, of the genre [MASK].	genre	opera	films	film	score	Drama	0.0	0.0
100255	Confessions of a Driving Instructor	Confessions of a Driving Instructor is a movie and starring Tony Booth and directed by Norman Cohen and produced by Michael Klinger and screenwriter Christopher Wood and music by Ed Welch, of the genre [MASK].	jazz	pop	thriller	score	soundtrack	Comedy	0.0	0.0
100257	Confessions from a Holiday Camp	Confessions from a Holiday Camp is a movie and starring Robin Askwith and directed by Norman Cohen and produced by Michael Klinger and screenwriter Christopher Wood and music by Ed Welch, of the genre [MASK].	pop	trilogy	trio	films	variety	Comedy	0.0	0.0
100383	Side Effects	Side Effects is a movie and starring Catherine Zeta-Jones and directed by Steven Soderbergh and produced by Lorenzo di Bonaventura and screenwriter Scott Z. Burns and music by Thomas Newman, of the genre [MASK].	trilogy	films	genre	film	score	Crime|Drama|Mystery|Thriller	0.0	0.0
100387	Kadal	Kadal is a movie and starring Gautham Karthik and directed by Mani Ratnam and produced by Mani Ratnam and screenwriter Mani Ratnam and music by A. R. Rahman, of the genre [MASK].	genre	music	films	film	variety	Drama|Romance	0.0	0.0
100390	Identity Thief	Identity Thief is a movie and starring Carlos Navarro and directed by Seth Gordon and produced by Scott Stuber and screenwriter Craig Mazin and music by Christopher Lennertz, of the genre [MASK].	genre	thriller	batman	film	films	Comedy|Crime	0.0	0.0
100397	The ABCs of Death	The ABCs of Death is a movie and starring Ingrid Bolsø Berdal and directed by Angela Bettis and produced by Simon Boswell and screenwriter Noboru Iguchi and music by Simon Boswell, of the genre [MASK].	genre	opera	drama	trilogy	music	Horror	0.0	0.0
1004	The Glimmer Man	The Glimmer Man is a movie and starring Brian Cox and directed by John Gray and produced by Steven Seagal and screenwriter Kevin Brodbin and music by Trevor Rabin, of the genre [MASK].	genre	films	trilogy	film	group	Action|Thriller	0.0	0.0
