ID	__name__	probes_5	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie, starring Judi Dench, directed by Martin Campbell, produced by Barbara Broccoli, screenwriter Bruce Feirstein, music by Éric Serra, of the genre <mask>.	 thriller	 1985	 2001	 1978	 1984	Action|Adventure|Thriller	0.3333333333333333	0.3333333333333333
100	City Hall	City Hall is a movie, starring Al Pacino, directed by Harold Becker, produced by Harold Becker, screenwriter Paul Schrader, music by Jerry Goldsmith, of the genre <mask>.	 1978	 1979	 1981	 1980	 1984	Drama|Thriller	0.0	0.0
100017	Keep the Lights On	Keep the Lights On is a movie, starring Julianne Nicholson, directed by Ira Sachs, produced by Ira Sachs, screenwriter Ira Sachs, music by Arthur Russell, of the genre <mask>.	 1979	 1978	 1981	 1977	 1980	Drama	0.0	0.0
100048	Omar Killed Me	Omar Killed Me is a movie, starring Maurice Bénichou, directed by Roschdy Zem, produced by Rachid Bouchareb, screenwriter Roschdy Zem, music by Alexandre Azaria, of the genre <mask>.	 2005	 2001	 2002	 2015	 2012	Crime|Drama	0.0	0.0
100062	My Way	My Way is a movie, starring Joe Odagiri, directed by Kang Je-gyu, produced by Kang Je-gyu, screenwriter Kang Je-gyu, music by Lee Dong-jun, of the genre <mask>.	 2018	 genre	 2014	 2015	 2017	Action|Drama|War	0.0	0.0
100091	Hitler's Madman	Hitler's Madman is a movie, starring Peter van Eyck, directed by Douglas Sirk, produced by Seymour Nebenzal, screenwriter Edgar G. Ulmer, music by Karl Hajos, of the genre <mask>.	 1939	 1938	 1945	 1959	 1936	Drama|War	0.0	0.0
100108	Parker	Parker is a movie, starring Jennifer Lopez, directed by Taylor Hackford, produced by Taylor Hackford, screenwriter John J. McLaughlin, music by David Buckley, of the genre <mask>.	 Parker	 thriller	 comedy	 2001	 genre	Crime|Thriller	0.0	0.5
100138	A Simple Life	A Simple Life is a movie, starring Andy Lau, directed by Ann Hui, produced by Ann Hui, screenwriter Susan Chan, music by Law Wing-fai, of the genre <mask>.	 comedy	 2001	 2005	 film	 2004	Drama	0.0	0.0
100159	Sightseers	Sightseers is a movie, starring John Hurt, directed by Ben Wheatley, produced by Edgar Wright, screenwriter Alice Lowe, music by Jim Williams, of the genre <mask>.	 genre	 1978	 2001	 thriller	 1979	Comedy	0.0	0.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie, starring Jeremy Renner, directed by Tommy Wirkola, produced by Will Ferrell, screenwriter Tommy Wirkola, music by Atli Örvarsson, of the genre <mask>.	 franchise	 Disney	 genre	 film	 trilogy	Action|Fantasy|Horror|IMAX	0.0	0.0
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie, starring Jean Rochefort, directed by Bernard Borderie, produced by Raymond Borderie, screenwriter Anne Golon, music by Michel Magne, of the genre <mask>.	 1959	 1985	 1956	 1968	 1958	Adventure|Romance	0.0	0.0
100229	The Psychopath	The Psychopath is a movie, starring Peter Diamond, directed by Freddie Francis, produced by Max Rosenberg, screenwriter Robert Bloch, music by Elisabeth Lutyens, of the genre <mask>.	 1979	 1959	 1968	 1978	 1973	Horror|Mystery	0.0	0.0
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie, starring Virna Lisi, directed by Norman Panama, produced by Norman Panama, screenwriter Peter Barnes, music by John Williams, of the genre <mask>.	 1978	 1979	 1968	 1981	 1974	Comedy|Drama	0.0	0.0
100244	The East	The East is a movie, starring Elliot Page, directed by Zal Batmanglij, produced by Ridley Scott, screenwriter Brit Marling, music by Halli Cauthery, of the genre <mask>.	 genre	 Scott	 name	 film	 trilogy	Drama	0.0	0.0
100255	Confessions of a Driving Instructor	Confessions of a Driving Instructor is a movie, starring Tony Booth, directed by Norman Cohen, produced by Michael Klinger, screenwriter Christopher Wood, music by Ed Welch, of the genre <mask>.	 1979	 1978	 1974	 1981	 1968	Comedy	0.0	0.0
100257	Confessions from a Holiday Camp	Confessions from a Holiday Camp is a movie, starring Robin Askwith, directed by Norman Cohen, produced by Michael Klinger, screenwriter Christopher Wood, music by Ed Welch, of the genre <mask>.	 1978	 1979	 1959	 1974	 1977	Comedy	0.0	0.0
