ID,__name__,released,starring,originating from,directed by,produced by,distributed by,edited by,screenwriter,music by
10,GoldenEye,1995,Judi Dench,"United States of America, United Kingdom",Martin Campbell,"Barbara Broccoli, Michael G. Wilson","Metro-Goldwyn-Mayer, Netflix",Terry Rawlings,"Bruce Feirstein, Jeffrey Caine, Michael France, Kevin Wade",Éric Serra
100,City Hall,1996,Al Pacino,United States of America,Harold Becker,Harold Becker,"Columbia Pictures, Netflix",David Bretherton,"Paul Schrader, Nicholas Pileggi, Bo Goldman",Jerry Goldsmith
100017,Keep the Lights On,2012,Julianne Nicholson,United States of America,Ira Sachs,Ira Sachs,Music Box Films,Affonso Gonçalves,Ira Sachs,Arthur Russell
100048,Omar Killed Me,2011,Maurice Bénichou,France,Roschdy Zem,Rachid Bouchareb,Netflix,Monica Coleman,Roschdy Zem,Alexandre Azaria
100062,My Way,2011,Joe Odagiri,South Korea,Kang Je-gyu,Kang Je-gyu,"Netflix, CJ Entertainment",Park Gok-ji,Kang Je-gyu,Lee Dong-jun
100091,Hitler's Madman,1943,Peter van Eyck,United States of America,Douglas Sirk,Seymour Nebenzal,Loews Cineplex Entertainment,Dan Milner,"Edgar G. Ulmer, Bart Lytton",Karl Hajos
100108,Parker,2013,Jennifer Lopez,United States of America,Taylor Hackford,"Taylor Hackford, Leslie Alexander","FilmDistrict, Netflix, ProVideo",Mark Warner,John J. McLaughlin,David Buckley
100138,A Simple Life,2011,Andy Lau,Hong Kong,Ann Hui,"Ann Hui, Nansun Shi",Netflix,Kwong Chi-Leung,"Susan Chan, Roger Yan-Lam Lee",Law Wing-fai
100159,Sightseers,2012,John Hurt,United Kingdom,Ben Wheatley,"Edgar Wright, Nira Park","Hulu, Cirko Film, StudioCanal UK",Ben Wheatley,"Alice Lowe, Steve Oram",Jim Williams
100163,Hansel & Gretel: Witch Hunters,2013,Jeremy Renner,"United States of America, Germany",Tommy Wirkola,"Will Ferrell, Adam McKay, Beau Flynn","Universal Pictures, Netflix, UIP-Dunafilm",Jim Page,Tommy Wirkola,Atli Örvarsson
100171,"Angélique, Marquise des Anges",1964,Jean Rochefort,"Spain, Italy, France, West Germany",Bernard Borderie,"Raymond Borderie, Francis Cosne",Netflix,Christian Gaudin,"Anne Golon, Bernard Borderie, Daniel Boulanger, Claude Brulé, Francis Cosne",Michel Magne
100229,The Psychopath,1966,Peter Diamond,United Kingdom,Freddie Francis,Max Rosenberg,Paramount Pictures,Oswald Hafenrichter,"Robert Bloch, Freddie Francis",Elisabeth Lutyens
100232,"Not with My Wife, You Don't!",1966,Virna Lisi,United States of America,Norman Panama,Norman Panama,"Warner Bros., Netflix",Aaron Stell,Peter Barnes,John Williams
100244,The East,2013,Elliot Page,"United States of America, United Kingdom",Zal Batmanglij,"Ridley Scott, Brit Marling, Scott Free Productions, Michael Costigan","Searchlight Pictures, Netflix","Andrew Weisblum, Bill Pankow","Brit Marling, Zal Batmanglij",Halli Cauthery
100255,Confessions of a Driving Instructor,1976,Tony Booth,United Kingdom,Norman Cohen,Michael Klinger,Columbia Pictures,Geoffrey Foot,Christopher Wood,Ed Welch
100257,Confessions from a Holiday Camp,1977,Robin Askwith,United Kingdom,Norman Cohen,Michael Klinger,Columbia Pictures,Geoffrey Foot,Christopher Wood,Ed Welch
100383,Side Effects,2013,Catherine Zeta-Jones,United States of America,Steven Soderbergh,"Lorenzo di Bonaventura, Scott Z. Burns, Gregory Jacobs","Global Road Entertainment, Netflix, ProVideo, ARP Sélection",Steven Soderbergh,Scott Z. Burns,Thomas Newman
100387,Kadal,2013,Gautham Karthik,India,Mani Ratnam,"Mani Ratnam, Suhasini Maniratnam",Gemini Film Circuit,A. Sreekar Prasad,"Mani Ratnam, Jeyamohan",A. R. Rahman
100390,Identity Thief,2013,Carlos Navarro,United States of America,Seth Gordon,"Scott Stuber, Jason Bateman","Netflix, Universal Pictures, UIP-Dunafilm",Peter Teschner,Craig Mazin,Christopher Lennertz
