ID	__name__	probes_4	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie, starring Judi Dench, directed by Martin Campbell, produced by Barbara Broccoli, screenwriter Bruce Feirstein, of the genre [MASK].	genre	films	film	comedy	trilogy	Action|Adventure|Thriller	0.0	0.0
100	City Hall	City Hall is a movie, starring Al Pacino, directed by Harold Becker, produced by Harold Becker, screenwriter Paul Schrader, of the genre [MASK].	genre	films	film	comedy	variety	Drama|Thriller	0.0	0.0
100017	Keep the Lights On	Keep the Lights On is a movie, starring Julianne Nicholson, directed by Ira Sachs, produced by Ira Sachs, screenwriter Ira Sachs, of the genre [MASK].	films	genre	film	series	comedy	Drama	0.0	0.0
100048	Omar Killed Me	Omar Killed Me is a movie, starring Maurice Bénichou, directed by Roschdy Zem, produced by Rachid Bouchareb, screenwriter Roschdy Zem, of the genre [MASK].	cinema	comedy	film	films	drama	Crime|Drama	0.0	0.5
100062	My Way	My Way is a movie, starring Joe Odagiri, directed by Kang Je-gyu, produced by Kang Je-gyu, screenwriter Kang Je-gyu, of the genre [MASK].	genre	film	drama	manga	films	Action|Drama|War	0.0	0.3333333333333333
100091	Hitler's Madman	Hitler's Madman is a movie, starring Peter van Eyck, directed by Douglas Sirk, produced by Seymour Nebenzal, screenwriter Edgar G. Ulmer, of the genre [MASK].	film	films	genre	cinema	drama	Drama|War	0.0	0.5
100108	Parker	Parker is a movie, starring Jennifer Lopez, directed by Taylor Hackford, produced by Taylor Hackford, screenwriter John J. McLaughlin, of the genre [MASK].	genre	films	category	film	variety	Crime|Thriller	0.0	0.0
100138	A Simple Life	A Simple Life is a movie, starring Andy Lau, directed by Ann Hui, produced by Ann Hui, screenwriter Susan Chan, of the genre [MASK].	genre	drama	[UNK]	comedy	film	Drama	0.0	1.0
100159	Sightseers	Sightseers is a movie, starring John Hurt, directed by Ben Wheatley, produced by Edgar Wright, screenwriter Alice Lowe, of the genre [MASK].	genre	films	film	variety	comedy	Comedy	0.0	1.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie, starring Jeremy Renner, directed by Tommy Wirkola, produced by Will Ferrell, screenwriter Tommy Wirkola, of the genre [MASK].	genre	films	series	trilogy	franchise	Action|Fantasy|Horror|IMAX	0.0	0.0
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie, starring Jean Rochefort, directed by Bernard Borderie, produced by Raymond Borderie, screenwriter Anne Golon, of the genre [MASK].	films	genre	film	cinema	drama	Adventure|Romance	0.0	0.0
100229	The Psychopath	The Psychopath is a movie, starring Peter Diamond, directed by Freddie Francis, produced by Max Rosenberg, screenwriter Robert Bloch, of the genre [MASK].	genre	thriller	films	trilogy	film	Horror|Mystery	0.0	0.0
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie, starring Virna Lisi, directed by Norman Panama, produced by Norman Panama, screenwriter Peter Barnes, of the genre [MASK].	films	genre	film	variety	cinema	Comedy|Drama	0.0	0.0
100244	The East	The East is a movie, starring Elliot Page, directed by Zal Batmanglij, produced by Ridley Scott, screenwriter Brit Marling, of the genre [MASK].	genre	films	trilogy	film	cinema	Drama	0.0	0.0
100255	Confessions of a Driving Instructor	Confessions of a Driving Instructor is a movie, starring Tony Booth, directed by Norman Cohen, produced by Michael Klinger, screenwriter Christopher Wood, of the genre [MASK].	genre	films	film	thriller	series	Comedy	0.0	0.0
100257	Confessions from a Holiday Camp	Confessions from a Holiday Camp is a movie, starring Robin Askwith, directed by Norman Cohen, produced by Michael Klinger, screenwriter Christopher Wood, of the genre [MASK].	genre	films	trilogy	film	series	Comedy	0.0	0.0
100383	Side Effects	Side Effects is a movie, starring Catherine Zeta-Jones, directed by Steven Soderbergh, produced by Lorenzo di Bonaventura, screenwriter Scott Z. Burns, of the genre [MASK].	genre	films	trilogy	film	series	Crime|Drama|Mystery|Thriller	0.0	0.0
100387	Kadal	Kadal is a movie, starring Gautham Karthik, directed by Mani Ratnam, produced by Mani Ratnam, screenwriter Mani Ratnam, of the genre [MASK].	genre	film	films	cinema	movies	Drama|Romance	0.0	0.0
100390	Identity Thief	Identity Thief is a movie, starring Carlos Navarro, directed by Seth Gordon, produced by Scott Stuber, screenwriter Craig Mazin, of the genre [MASK].	genre	thriller	film	films	series	Comedy|Crime	0.0	0.0
100397	The ABCs of Death	The ABCs of Death is a movie, starring Ingrid Bolsø Berdal, directed by Angela Bettis, produced by Simon Boswell, screenwriter Noboru Iguchi, of the genre [MASK].	genre	drama	fiction	trilogy	film	Horror	0.0	0.0
1004	The Glimmer Man	The Glimmer Man is a movie, starring Brian Cox, directed by John Gray, produced by Steven Seagal, screenwriter Kevin Brodbin, of the genre [MASK].	genre	films	trilogy	film	series	Action|Thriller	0.0	0.0
100440	Lore	Lore is a movie, starring Ursina Lardi, directed by Cate Shortland, produced by Liz Watts, screenwriter Cate Shortland, of the genre [MASK].	genre	drama	series	vampire	horror	Drama|Thriller|War	0.0	0.3333333333333333
100498	A Good Day to Die Hard	A Good Day to Die Hard is a movie, starring Bruce Willis, directed by John Moore, produced by Alex Yang, screenwriter Skip Woods, of the genre [MASK].	genre	films	film	franchise	trilogy	Action|Crime|Thriller|IMAX	0.0	0.0
1005	D3: The Mighty Ducks	D3: The Mighty Ducks is a movie, starring Steven Brill, directed by Robert Lieberman, produced by Jon Avnet, screenwriter Steven Brill, of the genre [MASK].	films	trilogy	genre	series	film	Children|Comedy	0.0	0.0
100507	21 & Over	21 & Over is a movie, starring Justin Chon, directed by Scott Moore, produced by Ryan Kavanaugh, screenwriter Jon Lucas, of the genre [MASK].	genre	films	series	franchise	film	Comedy	0.0	0.0
100515	War Witch	War Witch is a movie, starring Rachel Mwanza, directed by Kim Nguyen, produced by Pierre Even, screenwriter Kim Nguyen, of the genre [MASK].	genre	film	films	cinema	trilogy	Drama|War	0.0	0.0
100527	Safe Haven	Safe Haven is a movie, starring Josh Duhamel, directed by Lasse Hallström, produced by Ryan Kavanaugh, screenwriter Leslie Bohem, of the genre [MASK].	thriller	genre	drama	film	trilogy	Drama|Mystery|Romance	0.0	0.3333333333333333
100591	The Mind Reader	The Mind Reader is a movie, starring Warren William, directed by Roy Del Ruth, produced by Hal B. Wallis, screenwriter Robert Lord, of the genre [MASK].	genre	films	film	series	category	Drama|Romance	0.0	0.0
1006	The Chamber	The Chamber is a movie, starring Faye Dunaway, directed by James Foley, produced by Brian Grazer, screenwriter John Grisham, of the genre [MASK].	genre	films	film	trilogy	series	Drama	0.0	0.0
100714	Before Midnight	Before Midnight is a movie, starring Ethan Hawke, directed by Richard Linklater, produced by Christos V. Konstantakopoulos, screenwriter Ethan Hawke, of the genre [MASK].	genre	trilogy	films	film	drama	Drama|Romance	0.0	0.5
1008	Davy Crockett, King of the Wild Frontier	Davy Crockett, King of the Wild Frontier is a movie, starring Basil Ruysdael, directed by Norman Foster, produced by Walt Disney, screenwriter Tom W. Blackburn, of the genre [MASK].	genre	films	series	film	adaptation	Adventure|Western	0.0	0.0
1009	Escape to Witch Mountain	Escape to Witch Mountain is a movie, starring Reta Shaw, directed by John Hough, produced by Ron W. Miller, screenwriter Robert Milton Young, of the genre [MASK].	genre	films	series	film	trilogy	Adventure|Children|Fantasy	0.0	0.0
100906	Maniac Cop 2	Maniac Cop 2 is a movie, starring Danny Trejo, directed by William Lustig, produced by Larry Cohen, screenwriter Larry Cohen, of the genre [MASK].	series	films	genre	film	franchise	Action|Horror|Thriller	0.0	0.0
1010	The Love Bug	The Love Bug is a movie, starring Chick Hearn, directed by Robert Stevenson, produced by Bill Walsh, screenwriter Don DaGradi, of the genre [MASK].	genre	comedy	films	variety	film	Children|Comedy	0.0	0.5
101025	Jack the Giant Slayer	Jack the Giant Slayer is a movie, starring Stanley Tucci, directed by Bryan Singer, produced by David Dobkin, screenwriter Christopher McQuarrie, of the genre [MASK].	genre	trilogy	films	franchise	film	Adventure|Fantasy|IMAX	0.0	0.0
101060	The Last Exorcism Part II	The Last Exorcism Part II is a movie, starring Louis Herthum, directed by Ed Gass-Donnelly, produced by Eli Roth, screenwriter Damien Chazelle, of the genre [MASK].	genre	films	film	trilogy	series	Horror|Thriller	0.0	0.0
