ID	__name__	probes_2	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie, starring Judi Dench, directed by Martin Campbell, of the genre [MASK].	thriller	comedy	genre	horror	noir	Action|Adventure|Thriller	0.3333333333333333	0.3333333333333333
100	City Hall	City Hall is a movie, starring Al Pacino, directed by Harold Becker, of the genre [MASK].	comedy	noir	gangster	cop	drama	Drama|Thriller	0.0	0.5
100017	Keep the Lights On	Keep the Lights On is a movie, starring Julianne Nicholson, directed by Ira Sachs, of the genre [MASK].	thriller	comedy	drama	horror	genre	Drama	0.0	1.0
100048	Omar Killed Me	Omar Killed Me is a movie, starring Maurice Bénichou, directed by Roschdy Zem, of the genre [MASK].	comedy	noir	thriller	horror	cinema	Crime|Drama	0.0	0.0
100062	My Way	My Way is a movie, starring Joe Odagiri, directed by Kang Je-gyu, of the genre [MASK].	manga	anime	drama	comedy	genre	Action|Drama|War	0.0	0.3333333333333333
100091	Hitler's Madman	Hitler's Madman is a movie, starring Peter van Eyck, directed by Douglas Sirk, of the genre [MASK].	thriller	comedy	horror	drama	film	Drama|War	0.0	0.5
100108	Parker	Parker is a movie, starring Jennifer Lopez, directed by Taylor Hackford, of the genre [MASK].	parker	thriller	genre	drama	category	Crime|Thriller	0.0	0.5
100138	A Simple Life	A Simple Life is a movie, starring Andy Lau, directed by Ann Hui, of the genre [MASK].	drama	thriller	[UNK]	comedy	family	Drama	1.0	1.0
100159	Sightseers	Sightseers is a movie, starring John Hurt, directed by Ben Wheatley, of the genre [MASK].	horror	thriller	comedy	genre	film	Comedy	0.0	1.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie, starring Jeremy Renner, directed by Tommy Wirkola, of the genre [MASK].	horror	witch	supernatural	witches	grimm	Action|Fantasy|Horror|IMAX	0.25	0.25
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie, starring Jean Rochefort, directed by Bernard Borderie, of the genre [MASK].	drama	comedy	genre	romance	noir	Adventure|Romance	0.0	0.5
100229	The Psychopath	The Psychopath is a movie, starring Peter Diamond, directed by Freddie Francis, of the genre [MASK].	thriller	noir	psycho	horror	batman	Horror|Mystery	0.0	0.5
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie, starring Virna Lisi, directed by Norman Panama, of the genre [MASK].	comedy	drama	noir	comedies	thriller	Comedy|Drama	0.5	1.0
