ID	__name__	probes_1	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie, starring Judi Dench, of the genre [MASK].	thriller	comedy	horror	film	noir	Action|Adventure|Thriller	0.3333333333333333	0.3333333333333333
100	City Hall	City Hall is a movie, starring Al Pacino, of the genre [MASK].	comedy	noir	gangster	cop	superman	Drama|Thriller	0.0	0.0
100017	Keep the Lights On	Keep the Lights On is a movie, starring Julianne Nicholson, of the genre [MASK].	thriller	comedy	drama	genre	horror	Drama	0.0	1.0
100048	Omar Killed Me	Omar Killed Me is a movie, starring Maurice Bénichou, of the genre [MASK].	thriller	noir	horror	comedy	drama	Crime|Drama	0.0	0.5
100062	My Way	My Way is a movie, starring Joe Odagiri, of the genre [MASK].	anime	manga	drama	horror	comedy	Action|Drama|War	0.0	0.3333333333333333
100091	Hitler's Madman	Hitler's Madman is a movie, starring Peter van Eyck, of the genre [MASK].	thriller	comedy	horror	drama	suspense	Drama|War	0.0	0.5
100108	Parker	Parker is a movie, starring Jennifer Lopez, of the genre [MASK].	parker	thriller	genre	romance	seduction	Crime|Thriller	0.0	0.5
100138	A Simple Life	A Simple Life is a movie, starring Andy Lau, of the genre [MASK].	[UNK]	comedy	drama	family	thriller	Drama	0.0	1.0
100159	Sightseers	Sightseers is a movie, starring John Hurt, of the genre [MASK].	horror	thriller	comedy	film	adventure	Comedy	0.0	1.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie, starring Jeremy Renner, of the genre [MASK].	witch	horror	supernatural	witches	grimm	Action|Fantasy|Horror|IMAX	0.0	0.25
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie, starring Jean Rochefort, of the genre [MASK].	drama	comedy	genre	romance	theatre	Adventure|Romance	0.0	0.5
100229	The Psychopath	The Psychopath is a movie, starring Peter Diamond, of the genre [MASK].	thriller	psycho	noir	horror	batman	Horror|Mystery	0.0	0.5
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie, starring Virna Lisi, of the genre [MASK].	comedy	drama	comedies	thriller	film	Comedy|Drama	0.5	1.0
100244	The East	The East is a movie, starring Elliot Page, of the genre [MASK].	thriller	noir	horror	drama	fiction	Drama	0.0	1.0
100255	Confessions of a Driving Instructor	Confessions of a Driving Instructor is a movie, starring Tony Booth, of the genre [MASK].	thriller	cop	romance	driving	comedy	Comedy	0.0	1.0
100257	Confessions from a Holiday Camp	Confessions from a Holiday Camp is a movie, starring Robin Askwith, of the genre [MASK].	thriller	horror	drama	pornography	comedy	Comedy	0.0	1.0
100383	Side Effects	Side Effects is a movie, starring Catherine Zeta-Jones, of the genre [MASK].	thriller	drama	horror	genre	comedy	Crime|Drama|Mystery|Thriller	0.25	0.5
100387	Kadal	Kadal is a movie, starring Gautham Karthik, of the genre [MASK].	film	bollywood	comedy	cinema	genre	Drama|Romance	0.0	0.0
100390	Identity Thief	Identity Thief is a movie, starring Carlos Navarro, of the genre [MASK].	thriller	crime	thief	batman	detective	Comedy|Crime	0.0	0.5
100397	The ABCs of Death	The ABCs of Death is a movie, starring Ingrid Bolsø Berdal, of the genre [MASK].	fiction	thriller	drama	horror	suspense	Horror	0.0	1.0
1004	The Glimmer Man	The Glimmer Man is a movie, starring Brian Cox, of the genre [MASK].	horror	thriller	comedy	batman	noir	Action|Thriller	0.0	0.5
